Source Target Weight
陆无双 李莫愁 20
陆无双 洪凌波 35
陆无双 耶律齐 29
陆无双 黄蓉 39
陆无双 黄药师 19
陆无双 周伯通 16
陆二娘 武三娘 16
武三通 武三娘 32
武三通 黄蓉 64
武三通 武修文 41
武三通 李莫愁 33
武三通 朱子柳 36
武三通 天竺僧 21
武三通 耶律齐 32
武三娘 武三通 32
武三娘 陆二娘 16
武修文 武三通 41
武修文 郭靖 36
武修文 黄蓉 54
武修文 武敦儒 80
黄蓉 武三通 64
黄蓉 郭靖 652
黄蓉 黄药师 90
黄蓉 洪七公 42
黄蓉 郭芙 26
黄蓉 柯镇恶 19
黄蓉 杨康 24
黄蓉 武修文 54
黄蓉 小龙女 42
黄蓉 李莫愁 54
黄蓉 耶律齐 68
黄蓉 陆无双 39
黄蓉 朱子柳 101
黄蓉 霍都 71
黄蓉 达尔巴 25
黄蓉 周伯通 124
黄蓉 裘千尺 57
黄蓉 郭破虏 17
黄蓉 郭襄 175
黄蓉 公孙止 26
黄蓉 天竺僧 23
郭靖 黄药师 65
郭靖 黄蓉 652
郭靖 洪七公 26
郭靖 郭芙 22
郭靖 柯镇恶 32
郭靖 武修文 36
郭靖 杨康 32
郭靖 武敦儒 20
郭靖 马钰 32
郭靖 尹志平 26
郭靖 郝大通 38
郭靖 小龙女 22
郭靖 霍都 51
郭靖 达尔巴 25
郭靖 赵志敬 49
郭靖 耶律齐 29
郭靖 朱子柳 62
郭靖 周伯通 64
郭靖 吕文德 34
郭靖 尹克西 34
郭靖 郭襄 67
郭靖 马光佐 43
郭靖 尼摩星 95
郭靖 冯默风 23
黄药师 郭靖 65
黄药师 黄蓉 90
黄药师 陆无双 19
黄药师 周伯通 70
黄药师 郭襄 23
洪七公 郭靖 26
洪七公 黄蓉 42
郭芙 郭靖 22
郭芙 黄蓉 26
柯镇恶 郭靖 32
柯镇恶 黄蓉 19
李莫愁 陆无双 20
李莫愁 武三通 33
李莫愁 小龙女 17
李莫愁 黄蓉 54
李莫愁 洪凌波 41
李莫愁 耶律齐 19
